;neurons number1;neurons number2;learning rate;epoch;mean acc.(train);mean acc.(test)
51;1;1;0.005;5000;55.700564350496215;55.26400202895624
52;1;1;0.005;5000;55.7004415531343;55.26470150592582
53;1;1;0.005;5000;55.70056836886962;55.26537702935349
54;1;1;0.005;5000;55.69978314160035;55.264811326493835
55;1;1;0.005;5000;55.69970205857641;55.265276139213306
56;1;1;0.005;5000;55.70008158645414;55.26518573367251
57;1;1;0.005;5000;55.70268300897202;55.261493043065286
58;1;1;0.005;5000;55.701559988220836;55.260291153442395
59;1;1;0.005;5000;55.70198070321558;55.26007454505195
60;1;1;0.05;1000;55.718220778377294;55.265052590868336
61;1;1;0.05;1000;55.761113539723624;55.185146162234766
62;1;1;0.05;1000;55.75667775959715;55.20073020544191
63;1;1;0.05;1000;55.749273829087144;55.2116013645347
64;1;1;0.05;1000;55.747841965908705;55.21449588230911
65;1;1;0.05;1000;55.74101193313576;55.223456022968804
66;1;1;0.05;1000;55.773260112543916;55.1576981876545
67;1;1;0.05;1000;55.769993557452395;55.16643820958382
68;1;1;0.05;1000;56.229856320542495;55.43521154183329
69;1;1;0.05;1000;56.182167866066;55.410741522798205
70;1;1;0.05;2000;56.17178812877873;55.36531609292922
71;1;1;0.05;2000;56.15964664772468;55.32882331788068
72;1;1;0.05;2000;56.15044859657592;55.297753319900195
73;1;1;0.05;2000;56.49980150977477;55.50226277731805
74;1;1;0.05;2000;56.463143692933095;55.46621693439605
75;1;1;0.05;2000;56.43861054392811;55.43154151796029
76;1;1;0.05;2000;56.415111513490615;55.401690049551775
77;1;1;0.05;2000;56.379795340555525;55.38820983308855
78;1;1;0.05;2000;56.351293658759175;55.370914177007904
79;1;1;0.05;2000;56.33542045064969;55.3481432416306
80;1;1;0.05;5000;56.33696433579367;55.32508374237134
81;1;1;0.05;5000;56.743390403712766;55.56083460997846
82;1;1;0.05;5000;56.72716327929649;55.530350545601266
83;1;1;0.05;5000;56.71122458360292;55.50327117366194
84;1;1;0.05;5000;56.69640549622847;55.478585218479566
85;1;1;0.05;5000;56.681250768859094;55.45608594707721
86;1;1;0.05;5000;56.66641798548728;55.43539486489919
87;1;1;0.05;5000;56.64809664379505;55.41668594345864
88;1;1;0.05;5000;56.638018380939236;55.397861523291134
89;1;1;0.05;5000;56.90734734772566;55.55517177005338
90;1;1;0.5;1000;65.77456643484886;60.97202897750809
91;1;1;0.5;1000;65.78123497160595;60.98388195294929
92;1;1;0.5;1000;62.70013722862268;58.909911778994456
93;1;1;0.5;1000;61.153937066600434;57.87457996927075
94;1;1;0.5;1000;62.06731710441501;58.480987082261414
95;1;1;0.5;1000;61.143517762784775;57.861960137465275
96;1;1;0.5;1000;60.48324788041882;57.42000828645319
97;1;1;0.5;1000;59.99263889346163;57.08654589051677
98;1;1;0.5;1000;59.61031362226923;56.82762441249073
99;1;1;0.5;1000;60.22539399106351;57.241402156970175
100;1;1;0.5;2000;60.683146771718945;57.67059510009612
101;1;1;0.5;2000;61.0646632314922;58.02863396266881
102;1;1;0.5;2000;61.50207338765267;58.21515674871311
103;1;1;0.5;2000;61.164883520556785;57.966243835997076
104;1;1;0.5;2000;61.43787388538273;58.231946418625036
105;1;1;0.5;2000;61.76740737611934;58.370885267804375
106;1;1;0.5;2000;61.9728625197564;58.581711150570705
107;1;1;0.5;2000;62.155546037683884;58.769649351777126
108;1;1;0.5;2000;61.87363503956695;58.557125801539
109;1;1;0.5;2000;61.61897847942521;58.365758875880076
110;1;1;0.5;5000;61.89257296968644;58.46497589967136
111;1;1;0.5;5000;62.14062923745192;58.55512120370841
112;1;1;0.5;5000;62.36770746501791;58.637458629513304
113;1;1;0.5;5000;62.14421367335018;58.47738329230314
114;1;1;0.5;5000;61.93846458410999;58.33007735359937
115;1;1;0.5;5000;61.74869148420392;58.19418356838345
116;1;1;0.5;5000;61.57305148557902;58.068374953550865
117;1;1;0.5;5000;61.409805362778094;57.9515173251442
118;1;1;0.5;5000;61.25789044837161;57.842715518180086
119;1;1;0.5;5000;61.39432292942538;57.9986886710443
120;1;3;0.0001;1000;51.80699510228939;52.48153967207077
121;1;3;0.0001;1000;52.77346286021864;52.46131517020655
122;1;3;0.0001;1000;53.16164939789362;53.124082852955574
123;1;3;0.0001;1000;52.503294460200976;52.59364085938863
124;1;3;0.0001;1000;52.32478604308866;52.098555627724636
125;1;3;0.0001;1000;52.42065178884892;52.07815136769557
126;1;3;0.0001;1000;52.50210922497231;52.106952006418155
127;1;3;0.0001;1000;52.52846602558672;52.035381042179566
128;1;3;0.0001;1000;52.18356913472726;51.758689465071484
129;1;3;0.0001;1000;52.29279237204101;51.87357293506947
130;1;3;0.0001;2000;52.30666893287445;51.825344650678154
131;1;3;0.0001;2000;52.435126543057756;52.000865484491236
132;1;3;0.0001;2000;52.54885606140796;52.154250542334275
133;1;3;0.0001;2000;52.519253089200944;52.14069055719723
134;1;3;0.0001;2000;52.64002991827087;52.26998592076613
135;1;3;0.0001;2000;52.66287208197312;52.30075629903273
136;1;3;0.0001;2000;52.769212447457775;52.38945988200696
137;1;3;0.0001;2000;52.74159847379557;52.38637208302745
138;1;3;0.0001;2000;52.73069341106277;52.40508468040906
139;1;3;0.0001;2000;52.719227071433956;52.40796419545283
140;1;3;0.0001;5000;52.83402883490856;52.52633484432933
141;1;3;0.0001;5000;52.968572891179384;52.651185739216814
142;1;3;0.0001;5000;53.01801574739346;52.695997976000726
143;1;3;0.0001;5000;53.10967597235109;52.784624476733505
144;1;3;0.0001;5000;53.15837889093746;52.84783556592881
145;1;3;0.0001;5000;53.22250246756362;52.91019531531541
146;1;3;0.0001;5000;53.29233482125806;52.97957015409212
147;1;3;0.0001;5000;53.381758966295244;53.05896812216956
148;1;3;0.0001;5000;53.44541389934483;53.12619249613195
149;1;3;0.0001;5000;53.51152475926717;53.19102590164118
150;1;3;0.005;1000;55.695977800905325;55.2419926849408
151;1;3;0.005;1000;55.70271957025973;55.26351496175251
152;1;3;0.005;1000;55.71429131960995;55.269645537000144
153;1;3;0.005;1000;55.72157279366273;55.27878714819682
154;1;3;0.005;1000;55.72143384634828;55.276753132191494
155;1;3;0.005;1000;55.719703931191084;55.27792331166947
156;1;3;0.005;1000;55.71580058361195;55.27813397657553
157;1;3;0.005;1000;55.71384908909053;55.27915304419779
158;1;3;0.005;1000;55.71309766832073;55.28061798134065
159;1;3;0.005;1000;55.77544562970975;55.339448116385164
