;neurons number;learning rate;epoch;mean acc.(train);mean acc.(test)
52;10;0.005;2000;73.92224214860697;74.49717551434242
53;10;0.005;5000;76.54136658627584;77.05257585212188
54;10;0.05;1000;90.64041738740919;90.8480991208078
55;10;0.05;2000;92.35943894916043;92.72835467891755
56;10;0.05;5000;93.46402914045977;93.99280421973359
57;10;0.5;1000;95.42550785934313;96.36030474751244
58;10;0.5;2000;95.69387356590877;96.70182042671036
59;10;0.5;5000;95.98417499372512;97.00215349700915
60;15;0.0001;1000;55.827999885715556;55.42047259120733
61;15;0.0001;2000;55.820840157692544;55.431358366044186
62;15;0.0001;5000;56.08380298749276;55.71647893341924
63;15;0.005;1000;72.52848541008936;73.0117747893301
64;15;0.005;2000;74.56652189497159;75.15258595592483
65;15;0.005;5000;77.30607233274439;77.79489984907005
66;15;0.05;1000;90.64884160733443;90.78582392238984
67;15;0.05;2000;92.39254375999987;92.71440377341841
68;15;0.05;5000;93.5015828098629;93.99175517522417
69;15;0.5;1000;95.51813061282306;96.34651158284325
70;15;0.5;2000;95.77372971023804;96.69082368160163
71;15;0.5;5000;96.0564581067533;97.01964519057888
72;30;0.0001;1000;55.92376220932424;55.52978477173248
73;30;0.0001;2000;56.209972578546;55.90008604691188
74;30;0.0001;5000;56.60815843022006;56.30545707872394
75;30;0.005;1000;73.71934709057048;74.2591905465255
76;30;0.005;2000;75.56475086048054;76.1372375586354
77;30;0.005;5000;77.9482397475362;78.40428839295714
78;30;0.05;1000;90.32183980301662;90.34120854777392
79;30;0.05;2000;92.21732375928936;92.45732881512788
80;30;0.05;5000;93.39298184826784;93.82653114435074
81;30;0.5;1000;76.05075965385092;76.16530136476094
82;30;0.5;2000;72.81553535954772;72.88838851361702
83;30;0.5;5000;74.76703940557329;74.94239976058086
84;50;0.0001;1000;56.61456461829126;56.09017951523235
85;50;0.0001;2000;56.84626325621199;56.461567163106864
86;50;0.0001;5000;57.55684527473906;57.1878973106318
87;50;0.005;1000;74.43892129965519;74.94846788720831
88;50;0.005;2000;76.21743973988238;76.7592066456198
89;50;0.005;5000;78.55669104712392;78.95723091335822
90;50;0.05;1000;89.42118972654785;89.39347980646411
91;50;0.05;2000;91.69219301712666;91.87154832096428
92;50;0.05;5000;93.04333175867512;93.42489417558788
93;50;0.5;1000;61.60000076581491;60.13333420053956
94;50;0.5;2000;61.76669249870967;59.80003838794473
95;50;0.5;5000;62.24446164430465;59.95558113562476
96;100;0.0001;1000;55.10603753130266;54.07644434641912
97;100;0.0001;2000;57.081067865132106;56.35144190256606
98;100;0.0001;5000;58.80916862399508;58.34081881915362
99;100;0.005;1000;75.7319795815039;76.23098273579724
100;100;0.005;2000;77.39423951060607;77.81812465452498
101;100;0.005;5000;79.50807964256934;79.75324601942498
102;100;0.05;1000;82.9534819131545;84.0591438749093
103;100;0.05;2000;87.1275725977815;87.66056421178548
104;100;0.05;5000;89.95211098056254;90.5503264618362
105;100;0.5;1000;49.26666679385017;51.46666685329701
106;100;0.5;2000;53.13333363958634;53.73333358875941
107;100;0.5;5000;53.91111133214089;54.40000019263797
108;200;0.0001;1000;55.588016035020345;55.969121419943704
109;200;0.0001;2000;56.33641855073152;56.15728305510661
110;200;0.0001;5000;59.18994794585051;59.126238790397665
111;200;0.005;1000;76.93743837278063;77.31396426157562
112;200;0.005;2000;78.70539319160653;78.95850552954843
113;200;0.005;5000;80.37202503933096;80.36966048434118
114;200;0.05;1000;66.66649690497552;66.66655169529902
115;200;0.05;2000;66.6665696827918;66.66659838067065
116;200;0.05;5000;66.66660081487869;66.66661952600685
117;200;0.5;1000;59.86666662888259;56.93333330923299
118;200;0.5;2000;58.066666648601675;57.19999998794634
119;200;0.5;5000;58.22222221011819;56.888888880818975
